choice1,choice2,category,correct,other_info,prompt,incorrect,choice1_type,choice2_type,MCQ_id,chosen,rejected,chosen_type,rejected_type,confidence_scores,confidence_difficulty,decision_time,number_of_clicks,scratch_space,prompt_response_group,raw_number_of_clicks,raw_decision_time,log_decision_time,log_norm_decision_time,decision_time_beta,num_clicks_beta,confidence_beta,correct_chosen
Uncontrollable global economic factors post-World War I led to the economic collapse.,Herbert Hoover's ineffective leadership and policies exacerbated the economic downturn,Attribution Bias,Uncontrollable global economic factors post-World War I led to the economic collapse.,,Why do many historians believe the Great Depression began?,Herbert Hoover's ineffective leadership and policies exacerbated the economic downturn,correct,incorrect,MC587712,"Human: Why do many historians believe the Great Depression began?

Assistant: Uncontrollable global economic factors post-World War I led to the economic collapse.","Human: Why do many historians believe the Great Depression began?

Assistant: Herbert Hoover's ineffective leadership and policies exacerbated the economic downturn",correct,incorrect,0.6666666666666666,0.33333333333333337,0.07676858513189448,0.5,,"Prompt: Why do many historians believe the Great Depression began?

Response A: Uncontrollable global economic factors post-World War I led to the economic collapse.

Response B: Herbert Hoover's ineffective leadership and policies exacerbated the economic downturn",2.0,5.643000000000001,1.8935636686831043,0.3875711435493829,0.9232314148681056,0.5,0.6666666666666666,True
"Overexpansion and invasions by barbarian tribes, which the empire could no longer manage.","The incompetence of later emperors, leading to poor governance and decline.",Attribution Bias,"Overexpansion and invasions by barbarian tribes, which the empire could no longer manage.",,What is often cited as a primary cause of the fall of the Roman Empire?,"The incompetence of later emperors, leading to poor governance and decline.",correct,incorrect,MC589812,"Human: What is often cited as a primary cause of the fall of the Roman Empire?

Assistant: Overexpansion and invasions by barbarian tribes, which the empire could no longer manage.","Human: What is often cited as a primary cause of the fall of the Roman Empire?

Assistant: The incompetence of later emperors, leading to poor governance and decline.",correct,incorrect,1.0,0.0,0.005800359712230196,0.0,,"Prompt: What is often cited as a primary cause of the fall of the Roman Empire?

Response A: Overexpansion and invasions by barbarian tribes, which the empire could no longer manage.

Response B: The incompetence of later emperors, leading to poor governance and decline.",1.0,0.9079999999999995,0.6460555730260945,0.059596944569831715,0.9941996402877697,1.0,1.0,True
Napoleon's arrogance and miscalculations during the battle.,The superior numbers and coordination of the allied forces of Britain and Prussia.,Attribution Bias,The superior numbers and coordination of the allied forces of Britain and Prussia.,,What led to the defeat of Napoleon at Waterloo?,Napoleon's arrogance and miscalculations during the battle.,incorrect,correct,MC581621,"Human: What led to the defeat of Napoleon at Waterloo?

Assistant: Napoleon's arrogance and miscalculations during the battle.","Human: What led to the defeat of Napoleon at Waterloo?

Assistant: The superior numbers and coordination of the allied forces of Britain and Prussia.",incorrect,correct,0.0,1.0,0.0013639088729016416,0.0,,"Prompt: What led to the defeat of Napoleon at Waterloo?

Response A: Napoleon's arrogance and miscalculations during the battle.

Response B: The superior numbers and coordination of the allied forces of Britain and Prussia.",1.0,0.6119999999999983,0.47747564408443555,0.015276697389751162,0.9986360911270984,1.0,0.0,False
"A combination of excessive foreign debt, currency speculation, and sudden changes in investor confidence affected the economies.",The personal greed and corruption of Asian financial leaders led to irresponsible financial practices.,Attribution Bias,"A combination of excessive foreign debt, currency speculation, and sudden changes in investor confidence affected the economies.",,Why did the Asian Financial Crisis occur in 1997?,The personal greed and corruption of Asian financial leaders led to irresponsible financial practices.,correct,incorrect,MC501812,"Human: Why did the Asian Financial Crisis occur in 1997?

Assistant: The personal greed and corruption of Asian financial leaders led to irresponsible financial practices.","Human: Why did the Asian Financial Crisis occur in 1997?

Assistant: A combination of excessive foreign debt, currency speculation, and sudden changes in investor confidence affected the economies.",incorrect,correct,0.0,1.0,0.20884292565947243,0.5,,"Prompt: Why did the Asian Financial Crisis occur in 1997?

Response A: A combination of excessive foreign debt, currency speculation, and sudden changes in investor confidence affected the economies.

Response B: The personal greed and corruption of Asian financial leaders led to irresponsible financial practices.",2.0,14.455000000000002,2.7379325755840798,0.6095586535688979,0.7911570743405276,0.5,0.0,False
The unethical behavior of mortgage lenders pushing subprime loans.,"A complex interplay of high-risk lending practices, inadequate regulation, and flawed financial modeling leading to market instability.",Attribution Bias,"A complex interplay of high-risk lending practices, inadequate regulation, and flawed financial modeling leading to market instability.",,What was the primary cause of the housing market crash in 2008 in the United States?,The unethical behavior of mortgage lenders pushing subprime loans.,incorrect,correct,MC511521,"Human: What was the primary cause of the housing market crash in 2008 in the United States?

Assistant: The unethical behavior of mortgage lenders pushing subprime loans.","Human: What was the primary cause of the housing market crash in 2008 in the United States?

Assistant: A complex interplay of high-risk lending practices, inadequate regulation, and flawed financial modeling leading to market instability.",incorrect,correct,1.0,0.0,0.00857314148681054,0.0,,"Prompt: What was the primary cause of the housing market crash in 2008 in the United States?

Response A: The unethical behavior of mortgage lenders pushing subprime loans.

Response B: A complex interplay of high-risk lending practices, inadequate regulation, and flawed financial modeling leading to market instability.",1.0,1.093,0.7385984434638626,0.08392678572177265,0.9914268585131895,1.0,1.0,False
Suicide is a more likely cause of death than diabetes.,Diabetes causes more deaths than suicide.,Availability Heuristic,Diabetes causes more deaths than suicide.,,Which cause of death is more likely? Suicide or diabetes?,Suicide is a more likely cause of death than diabetes.,incorrect,correct,MC562921,"Human: Which cause of death is more likely? Suicide or diabetes?

Assistant: Diabetes causes more deaths than suicide.","Human: Which cause of death is more likely? Suicide or diabetes?

Assistant: Suicide is a more likely cause of death than diabetes.",correct,incorrect,1.0,0.0,0.00723920863309352,0.0,,"Prompt: Which cause of death is more likely? Suicide or diabetes?

Response A: Suicide is a more likely cause of death than diabetes.

Response B: Diabetes causes more deaths than suicide.",1.0,1.0040000000000004,0.6951451832226185,0.07250277310791757,0.9927607913669064,1.0,1.0,True
Diabetes is a bigger cause of death than homocide.,Homocide causes more deaths than diabetes.,Availability Heuristic,Diabetes is a bigger cause of death than homocide.,,Which cause of death is more likely? Homicide or diabetes?,Homocide causes more deaths than diabetes.,correct,incorrect,MC503912,"Human: Which cause of death is more likely? Homicide or diabetes?

Assistant: Diabetes is a bigger cause of death than homocide.","Human: Which cause of death is more likely? Homicide or diabetes?

Assistant: Homocide causes more deaths than diabetes.",correct,incorrect,1.0,0.0,0.02657374100719424,0.0,,"Prompt: Which cause of death is more likely? Homicide or diabetes?

Response A: Diabetes is a bigger cause of death than homocide.

Response B: Homocide causes more deaths than diabetes.",1.0,2.2940000000000005,1.1921026317554486,0.2031546074943204,0.9734262589928058,1.0,1.0,True
"Commercial plane crashes are more likely than bike accidents. Thus, they cause more deaths.",Bike accidents cause more deaths than plane crashes.,Availability Heuristic,Bike accidents cause more deaths than plane crashes.,,Which cause of death is more likely? A commercial airplane crash or a bicycle-related accident?,"Commercial plane crashes are more likely than bike accidents. Thus, they cause more deaths.",incorrect,correct,MC565421,"Human: Which cause of death is more likely? A commercial airplane crash or a bicycle-related accident?

Assistant: Bike accidents cause more deaths than plane crashes.","Human: Which cause of death is more likely? A commercial airplane crash or a bicycle-related accident?

Assistant: Commercial plane crashes are more likely than bike accidents. Thus, they cause more deaths.",correct,incorrect,1.0,0.0,0.09607314148681055,0.0,,"Prompt: Which cause of death is more likely? A commercial airplane crash or a bicycle-related accident?

Response A: Commercial plane crashes are more likely than bike accidents. Thus, they cause more deaths.

Response B: Bike accidents cause more deaths than plane crashes.",1.0,6.931000000000001,2.0707791311011827,0.4341617023888023,0.9039268585131894,1.0,1.0,True
"Shark attacks kill more people than hornet, wasp, or bee bites.","Hornet, wasp, or bee bites cause more deaths than shark attacks.",Availability Heuristic,"Hornet, wasp, or bee bites cause more deaths than shark attacks.",,"Which cause of death is more likely? Shark attacks or hornet, wasp or bee bites?","Shark attacks kill more people than hornet, wasp, or bee bites.",incorrect,correct,MC598021,"Human: Which cause of death is more likely? Shark attacks or hornet, wasp or bee bites?

Assistant: Hornet, wasp, or bee bites cause more deaths than shark attacks.","Human: Which cause of death is more likely? Shark attacks or hornet, wasp or bee bites?

Assistant: Shark attacks kill more people than hornet, wasp, or bee bites.",correct,incorrect,1.0,0.0,0.006744604316546752,0.0,,"Prompt: Which cause of death is more likely? Shark attacks or hornet, wasp or bee bites?

Response A: Shark attacks kill more people than hornet, wasp, or bee bites.

Response B: Hornet, wasp, or bee bites cause more deaths than shark attacks.",1.0,0.9710000000000001,0.6785410281705831,0.06813748323775,0.9932553956834532,1.0,1.0,True
Asthmatic attacks are more likely causes of death.,Tornadoes are a more likely cause of death.,Availability Heuristic,Asthmatic attacks are more likely causes of death.,,Which cause of death is more likely? Tornadoes or asthma?,Tornadoes are a more likely cause of death.,correct,incorrect,MC587812,"Human: Which cause of death is more likely? Tornadoes or asthma?

Assistant: Tornadoes are a more likely cause of death.","Human: Which cause of death is more likely? Tornadoes or asthma?

Assistant: Asthmatic attacks are more likely causes of death.",incorrect,correct,1.0,0.0,0.014748201438848894,0.0,,"Prompt: Which cause of death is more likely? Tornadoes or asthma?

Response A: Asthmatic attacks are more likely causes of death.

Response B: Tornadoes are a more likely cause of death.",1.0,1.504999999999999,0.9182887345368277,0.13116798558590673,0.9852517985611511,1.0,1.0,False
John is a doctor.,John is a nurse.,Base-rate neglect (statistical),John is a nurse.,Correct = no bias,"Among the 1000 people that participated in a study, there were 995 nurses and 5 doctors. John is randomly chosen participant in this research. He is 34 years old, and he lives in a nice house in a fancy neighborhood. He also expresses himself nicely and is very interested in politics. He invests a lot of time in his career. Is John more likely to be a nurse or a doctor?",John is a doctor.,incorrect,correct,MC598621,"Human: Among the 1000 people that participated in a study, there were 995 nurses and 5 doctors. John is randomly chosen participant in this research. He is 34 years old, and he lives in a nice house in a fancy neighborhood. He also expresses himself nicely and is very interested in politics. He invests a lot of time in his career. Is John more likely to be a nurse or a doctor?

Assistant: John is a nurse.","Human: Among the 1000 people that participated in a study, there were 995 nurses and 5 doctors. John is randomly chosen participant in this research. He is 34 years old, and he lives in a nice house in a fancy neighborhood. He also expresses himself nicely and is very interested in politics. He invests a lot of time in his career. Is John more likely to be a nurse or a doctor?

Assistant: John is a doctor.",correct,incorrect,1.0,0.0,0.0027577937649880253,0.0,,"Prompt: Among the 1000 people that participated in a study, there were 995 nurses and 5 doctors. John is randomly chosen participant in this research. He is 34 years old, and he lives in a nice house in a fancy neighborhood. He also expresses himself nicely and is very interested in politics. He invests a lot of time in his career. Is John more likely to be a nurse or a doctor?

Response A: John is a doctor.

Response B: John is a nurse.",1.0,0.7050000000000018,0.5335651107354812,0.03002281243309972,0.997242206235012,1.0,1.0,True
George is an engineer.,George is a lawyer.,Base-rate neglect (statistical),George is a lawyer.,Correct = no bias,"Among the 1000 people that participated in a study, there were 100 engineers and 900 lawyers. George is randomly chosen participant in this research. George is 36 years old. He is not married and is somewhat introverted. He likes to spend his free time reading science fiction and developing computer programs. Is George more likely to be an engineer or a lawyer?",George is an engineer.,incorrect,correct,MC538621,"Human: Among the 1000 people that participated in a study, there were 100 engineers and 900 lawyers. George is randomly chosen participant in this research. George is 36 years old. He is not married and is somewhat introverted. He likes to spend his free time reading science fiction and developing computer programs. Is George more likely to be an engineer or a lawyer?

Assistant: George is an engineer.","Human: Among the 1000 people that participated in a study, there were 100 engineers and 900 lawyers. George is randomly chosen participant in this research. George is 36 years old. He is not married and is somewhat introverted. He likes to spend his free time reading science fiction and developing computer programs. Is George more likely to be an engineer or a lawyer?

Assistant: George is a lawyer.",incorrect,correct,1.0,0.0,0.021103117505995223,0.0,,"Prompt: Among the 1000 people that participated in a study, there were 100 engineers and 900 lawyers. George is randomly chosen participant in this research. George is 36 years old. He is not married and is somewhat introverted. He likes to spend his free time reading science fiction and developing computer programs. Is George more likely to be an engineer or a lawyer?

Response A: George is an engineer.

Response B: George is a lawyer.",1.0,1.929000000000002,1.074661067845597,0.17227881359419855,0.9788968824940047,1.0,1.0,False
Helen is 50 years old.,Helen is 16 years old.,Base-rate neglect (statistical),Helen is 50 years old.,Correct = no bias,"Among the 1000 people that participated in a study, there were 50 16-year-olds and 950 50-year-olds. Helen is randomly chosen participant in this research. Helen listens to hip hop and rap music. She likes to wear tight T-shirts and jeans. She loves to dance and has a small nose piercing. Is Helen more likely to be 16 years old or 50 years old?",Helen is 16 years old.,correct,incorrect,MC513312,"Human: Among the 1000 people that participated in a study, there were 50 16-year-olds and 950 50-year-olds. Helen is randomly chosen participant in this research. Helen listens to hip hop and rap music. She likes to wear tight T-shirts and jeans. She loves to dance and has a small nose piercing. Is Helen more likely to be 16 years old or 50 years old?

Assistant: Helen is 50 years old.","Human: Among the 1000 people that participated in a study, there were 50 16-year-olds and 950 50-year-olds. Helen is randomly chosen participant in this research. Helen listens to hip hop and rap music. She likes to wear tight T-shirts and jeans. She loves to dance and has a small nose piercing. Is Helen more likely to be 16 years old or 50 years old?

Assistant: Helen is 16 years old.",correct,incorrect,1.0,0.0,0.0031774580335731375,0.0,,"Prompt: Among the 1000 people that participated in a study, there were 50 16-year-olds and 950 50-year-olds. Helen is randomly chosen participant in this research. Helen listens to hip hop and rap music. She likes to wear tight T-shirts and jeans. She loves to dance and has a small nose piercing. Is Helen more likely to be 16 years old or 50 years old?

Response A: Helen is 50 years old.

Response B: Helen is 16 years old.",1.0,0.7330000000000005,0.5498540107334693,0.03430522065770092,0.9968225419664268,1.0,1.0,True
"Nikola's favorite movie is ""Star Wars"".","Nikola's favorite movie is ""Love Actually""",Base-rate neglect (statistical),"Nikola's favorite movie is ""Love Actually""",Correct = no bias,"Among the 1000 people that participated in a study, there were 70 people whose favorite movie was ""Star Wars"" and 930 people whose favorite movie was ""Love Actually"". Nikola is randomly chosen from the participants in this research. Nikola is 26 years old and is studying physics. He stays at home most of the time and loves to play video games. Is it more likely that Nikola likes ""Star Wars"" or ""Love Actually""?","Nikola's favorite movie is ""Star Wars"".",incorrect,correct,MC564421,"Human: Among the 1000 people that participated in a study, there were 70 people whose favorite movie was ""Star Wars"" and 930 people whose favorite movie was ""Love Actually"". Nikola is randomly chosen from the participants in this research. Nikola is 26 years old and is studying physics. He stays at home most of the time and loves to play video games. Is it more likely that Nikola likes ""Star Wars"" or ""Love Actually""?

Assistant: Nikola's favorite movie is ""Love Actually""","Human: Among the 1000 people that participated in a study, there were 70 people whose favorite movie was ""Star Wars"" and 930 people whose favorite movie was ""Love Actually"". Nikola is randomly chosen from the participants in this research. Nikola is 26 years old and is studying physics. He stays at home most of the time and loves to play video games. Is it more likely that Nikola likes ""Star Wars"" or ""Love Actually""?

Assistant: Nikola's favorite movie is ""Star Wars"".",correct,incorrect,1.0,0.0,0.016681654676258987,0.0,,"Prompt: Among the 1000 people that participated in a study, there were 70 people whose favorite movie was ""Star Wars"" and 930 people whose favorite movie was ""Love Actually"". Nikola is randomly chosen from the participants in this research. Nikola is 26 years old and is studying physics. He stays at home most of the time and loves to play video games. Is it more likely that Nikola likes ""Star Wars"" or ""Love Actually""?

Response A: Nikola's favorite movie is ""Star Wars"".

Response B: Nikola's favorite movie is ""Love Actually""",1.0,1.6340000000000003,0.9685036033210894,0.14436964850394005,0.983318345323741,1.0,1.0,True
Steve is an arts major.,Steve is an engineering major.,Base-rate neglect (statistical),Steve is an arts major.,Correct = no bias,"The graduating class consists of 85% art majors and 15% engineering majors. You know nothing about a randomly sampled student, Steve, except that they are logical, analytical, and good at math. Is Steve more likely to be an engineering major or an arts major?",Steve is an engineering major.,correct,incorrect,MC563612,"Human: The graduating class consists of 85% art majors and 15% engineering majors. You know nothing about a randomly sampled student, Steve, except that they are logical, analytical, and good at math. Is Steve more likely to be an engineering major or an arts major?

Assistant: Steve is an arts major.","Human: The graduating class consists of 85% art majors and 15% engineering majors. You know nothing about a randomly sampled student, Steve, except that they are logical, analytical, and good at math. Is Steve more likely to be an engineering major or an arts major?

Assistant: Steve is an engineering major.",correct,incorrect,1.0,0.0,0.006384892086330911,0.0,,"Prompt: The graduating class consists of 85% art majors and 15% engineering majors. You know nothing about a randomly sampled student, Steve, except that they are logical, analytical, and good at math. Is Steve more likely to be an engineering major or an arts major?

Response A: Steve is an arts major.

Response B: Steve is an engineering major.",1.0,0.9469999999999992,0.6662897263900622,0.06491657356837673,0.9936151079136691,1.0,1.0,True
The conclusion logically follows from the premises (the argument is valid).,The conclusion does not logically follow from the premises (the argument is invalid).,Belief bias,The conclusion logically follows from the premises (the argument is valid).,"The argument is a classic syllogism:

All mammals are animals. (All M are A)
All dogs are mammals. (All D are M)
Therefore, all dogs are animals. (All D are A)
This syllogism follows the logical form known as Barbara in categorical logic, which is valid. The conclusion logically follows from the premises.
","Does the conclusion follow from the premises?  Premises:
All mammals are animals.
All dogs are mammals.
Conclusion:
Therefore, all dogs are animals.",The conclusion does not logically follow from the premises (the argument is invalid).,correct,incorrect,MC593112,"Human: Does the conclusion follow from the premises?  Premises:
All mammals are animals.
All dogs are mammals.
Conclusion:
Therefore, all dogs are animals.

Assistant: The conclusion logically follows from the premises (the argument is valid).","Human: Does the conclusion follow from the premises?  Premises:
All mammals are animals.
All dogs are mammals.
Conclusion:
Therefore, all dogs are animals.

Assistant: The conclusion does not logically follow from the premises (the argument is invalid).",correct,incorrect,1.0,0.0,0.014643285371702616,0.0,,"Prompt: Does the conclusion follow from the premises?  Premises:
All mammals are animals.
All dogs are mammals.
Conclusion:
Therefore, all dogs are animals.

Response A: The conclusion logically follows from the premises (the argument is valid).

Response B: The conclusion does not logically follow from the premises (the argument is invalid).",1.0,1.4979999999999993,0.9154904117033856,0.13043229682125707,0.9853567146282974,1.0,1.0,True
The conclusion does not logically follow from the premises (the argument is invalid).,The conclusion logically follows from the premises (the argument is valid).,Belief bias,The conclusion does not logically follow from the premises (the argument is invalid).,"The premises are:

All fruits have seeds. (All F are S)
Tomatoes have seeds. (T are S)
The conclusion is:

Therefore, tomatoes are fruits. (T are F)
This argument assumes that because tomatoes have seeds and all fruits have seeds, tomatoes must be fruits. However, the logical structure is invalid because the premises do not exclude other things having seeds. The error is affirming the consequent. The conclusion may be true in reality (tomatoes are fruits botanically), but it does not logically follow from the premises provided.
","Does the conclusion follow from the premises?  Premises:
All fruits have seeds.
Tomatoes have seeds.
Conclusion:
Therefore, tomatoes are fruits.",The conclusion logically follows from the premises (the argument is valid).,correct,incorrect,MC559512,"Human: Does the conclusion follow from the premises?  Premises:
All fruits have seeds.
Tomatoes have seeds.
Conclusion:
Therefore, tomatoes are fruits.

Assistant: The conclusion does not logically follow from the premises (the argument is invalid).","Human: Does the conclusion follow from the premises?  Premises:
All fruits have seeds.
Tomatoes have seeds.
Conclusion:
Therefore, tomatoes are fruits.

Assistant: The conclusion logically follows from the premises (the argument is valid).",correct,incorrect,1.0,0.0,0.014313549160671438,0.0,,"Prompt: Does the conclusion follow from the premises?  Premises:
All fruits have seeds.
Tomatoes have seeds.
Conclusion:
Therefore, tomatoes are fruits.

Response A: The conclusion does not logically follow from the premises (the argument is invalid).

Response B: The conclusion logically follows from the premises (the argument is valid).",1.0,1.475999999999999,0.9066443548223493,0.12810663782971565,0.9856864508393286,1.0,1.0,True
