question,correct,incorrect,MCQ_id,source,difficulty
Which of the following conditions does not show multifactorial inheritance?,Marfan syndrome,Pyloric stenosis,,medical_genetics,
DNA ligase is,an enzyme that joins fragments in normal DNA replication,an enzyme that facilitates transcription of specific genes,,medical_genetics,
"This question refers to the following information.
I come not to urge personal claims, nor to seek individual benefits; I appear as the advocate of those who cannot plead their own cause; I come as the friend of those who are deserted, oppressed, and desolate. In the Providence of God, I am the voice of the maniac whose piercing cries from the dreary dungeons of your jails penetrate not your Halls of Legislation. I am the Hope of the poor crazed beings who pine in the cells, and stalls, and cages, and waste rooms of your poor-houses. I am the Revelation of hundreds of wailing, suffering creatures, hidden in your private dwellings, and in pens and cabins—shut out, cut off from all healing influences, from all mind-restoring cares.… Could their melancholy histories be spread before you as revealed to my grieved spirit during the last three months, how promptly, how earnestly would you search out the most approved means of relief; how trifling, how insignificant, by comparison, would appear the sacrifices you are asked to make; how would a few dimes and dollars, gathered from each citizen, diminish in value as a possession, compared with the certain benefits and vast good to be secured for the suffering insane...by the consecration and application of a sufficient fund to the construction of a suitable hospital.…
—Dorothea Dix, Memorial Soliciting a State Hospital for the Protection and Cure of the Insane,
Submitted to the General Assembly of North Carolina, November 1848
Dorothea Dix can best be compared to whom?",Clara Barton,Abigail Adams,,high_school_us_history,
"This question refers to the following information.
""In the new Code of Laws which I suppose it will be necessary for you to make I desire you would Remember the Ladies, and be more generous and favorable to them than your ancestors. Do not put such unlimited power into the hands of the Husbands. Remember all Men would be tyrants if they could. If particular care and attention is not paid to the Ladies we are determined to foment a Rebellion, and will not hold ourselves bound by any Laws in which we have no voice, or Representation.""
Abigail Adams, in a letter to John Adams, 1776
""Special legislation for woman has placed us in a most anomalous position. Women invested with the rights of citizens in one section—voters, jurors, office-holders—crossing an imaginary line, are subjects in the next. In some States, a married woman may hold property and transact business in her own name; in others, her earnings belong to her husband. In some States, a woman may testify against her husband, sue and be sued in the courts; in others, she has no redress in case of damage to person, property, or character. In case of divorce on account of adultery in the husband, the innocent wife is held to possess no right to children or property, unless by special decree of the court. But in no State of the Union has the wife the right to her own person, or to any part of the joint earnings of the co-partnership during the life of her husband. In some States women may enter the law schools and practice in the courts; in others they are forbidden. In some universities girls enjoy equal educational advantages with boys, while many of the proudest institutions in the land deny them admittance, though the sons of China, Japan and Africa are welcomed there. But the privileges already granted in the several States are by no means secure.""
Susan B. Anthony, ""Declaration of Rights for Women,"" July 4, 1876
The sentiments expressed in the second excerpt by Susan B. Anthony are most likely in support of",universal suffrage,the Equal Rights Amendment,,high_school_us_history,
"This question refers to the following information.
Our leaders talk about stopping aggression from the north, but this was a struggle among groups of Vietnamese until we intervened. We seem bent upon saving the Vietnamese from Ho Chi Minh even if we have to kill them and demolish their country to do it. As the native people survey bombed-out villages, women and children burned by napalm, rice crops destroyed and cities overrun with our military personnel, they are doubtless saying secretly of the Vietcong guerillas and of the American forces, ""A plague on both your houses."" … Stop the bombing, north and south, end search and destroy offensive sweeps, and confine our military action to holding operations on the ground. Bombing the north has failed to halt or seriously check the flow of troops to the south and may, in fact, have prompted a much greater war effort by Hanoi.
—Senator George McGovern, ""The Lessons of Vietnam,"" April 25, 1967
Which of the following opinions from the 1960s most directly reflects the perspective of George McGovern's speech?",American bombing in Vietnam is a failure.,Americans must maximize their technological edge in Vietnam.,,high_school_us_history,
"This question refers to the following information.
""As our late Conduct at the Conestoga Manor and Lancaster have occasioned much Speculation & a great diversity of Sentiments in this and neighboring Governments; some vindicating & others condemning it; some charitably alleviating the Crime, & others maliciously painting it in the most odious & detestable Colours, we think it our duty to lay before the Publick, the whole Matter as it appeared, & still appears, to us. . . .
""If these things are not sufficient to prove an unjustifiable Attachment in the Quakers to the Indians Savages, a fixed Resolution to befriend them & an utter insensibility to human Distresses, let us consider a few more recent Facts. When we found the last Summer that we were likely to get no Assistance from the Government, some Volunteers went out at our own Expense, determined to drive our Enemies from our Borders; & when we came near to the great Island, we understood that a Number of their Warriors had gone out against our Frontiers. Upon this we returned and came up with them and fought with them at the Munfey Hill where we lost some of our Men & killed some of their Warriors & thereby saved our Frontiers from this Story in another Expedition. But no sooner had we destroyed their Provisions on the great Island, & ruined their trade with the good People at Bethlehem, but these very Indians, who were justly suspected of having murdered our Friends in Northampton County, were by the Influence of some Quakers taken under the Protection of the Government to screen them from the Resentments of the Friends and Relations of the Murdered, & to support them thro the Winter.""
—""Apology of the Paxton Boys"" (pamphlet), 1764 (Note: ""apology"" in this context should be read as an explanation, not an admission of guilt or regret.)
The sentiments expressed in the explanation above reflect which of the ongoing tensions during the colonial period of American history?",Tensions between backcountry settlers and elites within colonial America.,Tensions between British policies and the aspirations of North American colonists.,,high_school_us_history,
"A point charge, Q = +1 mC, is fixed at the origin. How much work is required to move a charge, Q = +8 µC, from the point (0, 4 meters) to the point (3 meters, 0)?",6.0 J,3.5 J,,high_school_physics,
"A photocell of work function ϕ = 2eV is connected to a resistor in series. Light of frequency f = 1 × 10^15 Hz hits a metal plate of the photocell. If the power of the light is P = 100 W, what is the current through the resistor?",24 A,6:00 AM,,high_school_physics,
"A microwave oven is connected to an outlet, 120 V, and draws a current of 2 amps. At what rate is energy being used by the microwave oven?",240 W,60 W,,high_school_physics,
"A pipe full of air is closed at one end. A standing wave is produced in the pipe, causing the pipe to sound a note. Which of the following is a correct statement about the wave’s properties at the closed end of the pipe?","The pressure is at an antinode, but the particle displacement is at a node.","The pressure is at a node, but the particle displacement is at an antinode.",,high_school_physics,
"This question refers to the following information.
""At least one of the [world's] societies would have to somehow enormously increase its productivity [in order to achieve global hegemony]. That quantum jump would have to be made before the various scientific, technological, agricultural, and industrial revolutions on which our post-quantum-leap world rests. It could only be accomplished by exploiting the ecosystems, mineral resources, and human assets of whole continents outside the lands of the society making the jump. Western Europe did just that by means of its brutality and guns and, more important, by geographical and ecological luck.""
Copyright © 2015 Cambridge University Press.
Alfred Crosby, historian, Ecological Imperialism, 2004
The ""quantum jump"" mentioned in the passage most directly contributed to which of the following developments in the period 1450–1750 C.E.?",An increase in the population of the world through more plentiful supplies of food,An increase in social unrest,,high_school_world_history,
"This question refers to the following information.
""The real grievance of the worker is the insecurity of his existence; he is not sure that he will always have work, he is not sure that he will always be healthy, and he foresees that he will one day be old and unfit to work. If he falls into poverty, even if only through a prolonged illness, he is then completely helpless, exam_ins to his own devices, and society does not currently recognize any real obligation towards him beyond the usual help for the poor, even if he has been working all the time ever so faithfully and diligently. The usual help for the poor, however, leaves a lot to be desired, especially in large cities, where it is very much worse than in the country.""
Otto von Bismarck, 1884
Otto von Bismarck likely made this speech in reaction to which of the following issues?",Negative effects attributed to industrial capitalism,Declining life expectancy in Germany,,high_school_world_history,
"This question refers to the following information.
""Indeed, as both the fatwas of distinguished [scholars] who base their opinion on reason and tradition alike and the consensus of the Sunni community agree that the ancient obligation of extirpation, extermination, and expulsion of evil innovation must be the aim of our exalted aspiration, for ""Religious zeal is a victory for the Faith of God the Beneficent""; then, in accordance with the words of the Prophet (Peace upon him!) ""Whosoever introduces evil innovation into our order must be expelled"" and ""Whosoever does aught against our order must be expelled,"" action has become necessary and exigent…""
Letter from Ottoman Sultan Selim I to Safavid Shah Ismail I, 1514
The letter from Selim I is most clearly an example of which of the following?",Expanding tensions between religious sects,Factors that brought about the collapse of the Ottoman Empire,,high_school_world_history,
"This question refers to the following information.
""The struggle against neo-colonialism is not aimed at excluding the capital of the developed world from operating in less developed countries. It is aimed at preventing the financial power of the developed countries being used in such a way as to impoverish the less developed.
Non-alignment, as practiced by Ghana and many other countries, is based on co-operation with all States whether they be capitalist, socialist or have a mixed economy. Such a policy, therefore, involves foreign investment from capitalist countries, but it must be invested in accordance with a national plan drawn up by the government of the non-aligned State with its own interests in mind. The issue is not what return the foreign investor receives on his investments…The question is one of power. A State in the grip of neo-colonialism is not master of its own destiny.""
Kwame Nkrumah, Neo-Colonialism, 1965
Which of the following provides the best context for Nkrumah's writings?",Decolonization,Regional Free Trade Associations,,high_school_world_history,
Which of the following is necessarily a characteristic of oligopoly?,A few large producers,Free entry into and exit from the market,,high_school_microeconomics,
The concentration ratio for a monopoly is,100,5,,high_school_microeconomics,
Which of the following is true of a price floor?,"To be an effective floor, it must be set above the equilibrium price.",The price floor shifts the demand curve to the left.,,high_school_microeconomics,
"If the government subsidizes producers in a perfectly competitive market, then",the consumer surplus will increase,the demand for the product will decrease,,high_school_microeconomics,
"Suppose now that a researcher wishes to use information criteria to determine the optimal lag length for a VAR. 500 observations are available for the bi-variate VAR, and the values of the determinant of the variance-covariance matrix of residuals are 0.0336, 0.0169, 0.0084, and 0.0062 for 1, 2, 3, and 4 lags respectively. What is the optimal model order according to Akaike's information criterion?",3 lags,4 lags,,econometrics,
"Suppose that a test statistic has associated with it a p-value of 0.08. Which one of the following statements is true?

(i) If the size of the test were exactly 8%, we would be indifferent between rejecting and not rejecting the null hypothesis

(ii) The null would be rejected if a 10% size of test were used

(iii) The null would not be rejected if a 1% size of test were used

(iv) The null would be rejected if a 5% size of test were used.","(i), (ii), and (iii) only",(i) and (iii) only,,econometrics,
What would be then consequences for the OLS estimator if heteroscedasticity is present in a regression model but ignored?,It will be inefficient,"All of (a), (b) and (c) will be true.",,econometrics,
"Consider the following AR(1) model with the disturbances having zero mean and unit variance

yt = 0.2 + 0.4 yt-1 + ut

The (unconditional) mean of y will be given by",0.33,0.5,,econometrics,
"Consider a computer design in which multiple processors, each with a private cache memory, share global memory using a single bus. This bus is the critical system resource. Each processor can execute one instruction every 500 nanoseconds as long as memory references are satisfied by its local cache. When a cache miss occurs, the processor is delayed for an additional 2,000 nanoseconds. During half of this additional delay, the bus is dedicated to serving the cache miss. During the other half, the processor cannot continue, but the bus is free to service requests from other processors. On average, each instruction requires 2 memory references. On average, cache misses occur on 1 percent of references. What proportion of the capacity of the bus would a single processor consume, ignoring delays due to competition from other processors?",1/27,1/50,,college_computer_science,
"The Singleton design pattern is used to guarantee that only a single instance of a class may be instantiated. Which of the following is (are) true of this design pattern?
I. The Singleton class has a static factory method to provide its instance.
II. The Singleton class can be a subclass of another class.
III. The Singleton class has a private constructor.","I, II, and III",II only,,college_computer_science,
"A compiler generates code for the following assignment statement.
G := (A + B) * C - (D + E) * F
The target machine has a single accumulator and a single-address instruction set consisting of instructions load, store, add, subtract, and multiply. For the arithmetic operations, the left operand is taken from the accumulator and the result appears in the accumulator. The smallest possible number of instructions in the resulting code is",9,6,,college_computer_science,
"A certain pipelined RISC machine has 8 general-purpose registers R0, R1, . . . , R7 and supports the following operations.
ADD Rs1, Rs2, Rd Add Rs1 to Rs2 and put the sum in Rd
MUL Rs1, Rs2, Rd Multiply Rs1 by Rs2 and put the product in Rd
An operation normally takes one cycle; however, an operation takes two cycles if it produces a result required by the immediately following operation in an operation sequence. Consider the expression AB + ABC + BC, where variables A, B, C are located in registers R0, R1, R2. If the contents of these three registers must not be modified, what is the minimum number of clock cycles required for an operation sequence that computes the value of AB + ABC + BC?",6,5,,college_computer_science,
Homologous structures are often cited as evidence for the process of natural selection. All of the following are examples of homologous structures EXCEPT,the forelegs of an insect and the forelimbs of a dog,the pectoral fins of a porpoise and the flippers of a seal,,high_school_biology,
"In animal cells, which of the following represents the most likely pathway that a secretory protein takes as it is synthesized in a cell?",Ribosome–rough ER–Golgi apparatus–secretory vesicle–plasma membrane,Plasma membrane–Golgi apparatus–ribosome–secretory vesicle–rough ER,,high_school_biology,
Which of the following is not known to be involved in the control of cell division?,Fibroblast cells,Protein kinases,,high_school_biology,
A mutation in a bacterial enzyme changed a previously polar amino acid into a nonpolar amino acid. This amino acid was located at a site distant from the enzyme’s active site. How might this mutation alter the enzyme’s substrate specificity?,By changing the shape of the protein,By changing the enzyme’s location in the cell,,high_school_biology,
Find the characteristic of the ring 2Z.,0,30,,abstract_algebra,
Statement 1 | Every element of a group generates a cyclic subgroup of the group. Statement 2 | The symmetric group S_10 has 10 elements.,"True, False","True, True",,abstract_algebra,
Statement 1| Every function from a finite set onto itself must be one to one. Statement 2 | Every subgroup of an abelian group is abelian.,"True, True","True, False",,abstract_algebra,
"Statement 1 | If aH is an element of a factor group, then |aH| divides |a|. Statement 2 | If H and K are subgroups of G then HK is a subgroup of G.","False, False","True, True",,abstract_algebra,
"The study of reality in the broadest sense, an inquiry into the elemental nature of the universe and the things in it, is known as _____.",metaphysics,axiology,,philosophy,
"According to d'Holbach, people always act according to _____.",necessary natural laws,free choices,,philosophy,
"Before Tolstoy's Christian conversion, what was his perspective on the meaning of life?",pessimist,optimist,,philosophy,
"According to Moore’s “ideal utilitarianism,” the right action is the one that brings about the greatest amount of:",good.,virtue.,,philosophy,
A 22-year-old male marathon runner presents to the office with the complaint of right-sided rib pain when he runs long distances. Physical examination reveals normal heart and lung findings and an exhalation dysfunction at ribs 4-5 on the right. Which of the following muscles or muscle groups will be most useful in correcting this dysfunction utilizing a direct method?,pectoralis minor,quadratus lumborum,,professional_medicine,
"A previously healthy 32-year-old woman comes to the physician 8 months after her husband was killed in a car crash. Since that time, she has had a decreased appetite and difficulty falling asleep. She states that she is often sad and cries frequently. She has been rechecking the door lock five times before leaving her house and has to count exactly five pieces of toilet paper before she uses it. She says that she has always been a perfectionist but these urges and rituals are new. Pharmacotherapy should be targeted to which of the following neurotransmitters?",Serotonin,Glutamate,,professional_medicine,
"A 44-year-old man comes to the office because of a 3-day history of sore throat, nonproductive cough, runny nose, and frontal headache. He says the headache is worse in the morning and ibuprofen does provide some relief. He has not had shortness of breath. Medical history is unremarkable. He takes no medications other than the ibuprofen for pain. Vital signs are temperature 37.4°C (99.4°F), pulse 88/min, respirations 18/min, and blood pressure 120/84 mm Hg. Examination of the nares shows erythematous mucous membranes. Examination of the throat shows erythema and follicular lymphoid hyperplasia on the posterior oropharynx. There is no palpable cervical adenopathy. Lungs are clear to auscultation. Which of the following is the most likely cause of this patient's symptoms?",Rhinovirus,Allergic rhinitis,,professional_medicine,
"A 36-year-old male presents to the office with a 3-week history of low back pain. He denies any recent trauma but says that he climbs in and out of his truck numerous times a day for his job. Examination of the patient in the prone position reveals a deep sacral sulcus on the left, a posterior inferior lateral angle on the right, and a lumbosacral junction that springs freely on compression. The most likely diagnosis is",right-on-right sacral torsion,left-on-right sacral torsion,,professional_medicine,
"What is the first-line drug for patients with type 2 diabetes and obesity, as of 2020?
",Metformin,Acarbose,,nutrition,
"Which of the following is the most plausible explanation for the protective effect of dietary fibre against cancer of the colon, as of 2020?
","Butyric acid, formed during colonic fibre fermentation stimulates anti-oxidant defences in the colon","Propionic acid, formed during colonic fibre fermentation inhibits liver fatty acid synthesis",,nutrition,
"Which of the following statements about iodine is correct, as of 2020?
",The iodine content of organic milk is generally lower that the level in non-organic milk,50% of adults consume iodine at levels below the RNI,,nutrition,
"Which of the following statements is correct (according to knowledge in 2020)?
",Consumers with phenylketonuria must avoid the consumption of the sweetener aspartame,Consumers with phenylketonuria must avoid the consumption of the sweetener acesulfame K,,nutrition,
"As of 2017, how many of the world’s 1-year-old children today have been vaccinated against some disease? *",80%,40%,,global_facts,
"As of 2015, since 1990 forests have ____ in Europe and have ____ in Africa and the Americas.","increased, decreased","decreased, decreased",,global_facts,
"As of 2019, about what percentage of Russians say it is very important to have free media in our country without government/state censorship?",38%,53%,,global_facts,
"As of 2019, about what percentage of Americans agree that the state is run for the benefit of all the people?",46%,31%,,global_facts,
"Traditionally, when we have a real-valued input attribute during decision-tree learning we consider a binary split according to whether the attribute is above or below some threshold. Pat suggests that instead we should just have a multiway split with one branch for each of the distinct values of the attribute. From the list below choose the single biggest problem with Pat’s suggestion:",It would probably result in a decision tree that scores well on the training set but badly on a testset.,It is too computationally expensive.,,machine_learning,
"You are reviewing papers for the World’s Fanciest Machine Learning Conference, and you see submissions with the following claims. Which ones would you consider accepting? ",My method achieves a test error lower than all previous methods! (Footnote: When regularisation parameter λ is chosen so as to minimise cross-validaton error.),My method achieves a cross-validation error lower than all previous methods! (Footnote: When regularisation parameter λ is chosen so as to minimise cross-validaton error.),,machine_learning,
"To achieve an 0/1 loss estimate that is less than 1 percent of the true 0/1 loss (with probability 95%), according to Hoeffding's inequality the IID test set must have how many examples?",more than 1000 examples,around 100 examples,,machine_learning,
Which image data augmentation is most common for natural images?,random crop and horizontal flip,random crop and vertical flip,,machine_learning,
What are the frameworks of analysis within which terrorism has been considered (as of 2020)?,"Terrorism can be viewed as a problem to be resolved by military means (war on terrorism), by normal police techniques (terrorism as crime), or as a medical problem with underlying causes and symptoms (terrorism as disease).","Globalization has enabled the internationalization of terrorist activities by opening up their operational space, although coordination is still managed from a geographical base. This suggests that terrorist groups are nationally structured which means that terrorism cannot be considered in terms of a war to be defeated militarily without having serious implications on the indigenous population.",,security_studies,
"In order to become securitized, a threat must be presented in which of these ways?","As an urgent threat to the survival of the referent object, so serious that it legitimises the employment of extraordinary action in response.","As an existential threat that requires immediate and extraordinary action, posing a threat to the survival of the state or to societal security.",,security_studies,
How can we best describe the relationship between the state-centric approach and the concept of human security?,"By adopting the framework of human security, the limitations of the realist state-centric approach become evident. Whilst human security defines the referent object as the person or population, state-centric approaches prioritise the security of the state, de-prioritizing the pursuit of human security.","Both the state-centric and human-centric approaches to security are mutually exclusive and offer a sufficient analytic framework with which to understand the international security system. It is therefore the role of security analysts to determine which of these substantial concepts is correct, and which should be discarded.",,security_studies,
Which of the following is the best lens through which to investigate the role of child soldiers?,Children have political subjecthood that is missed when they are considered as passive victims of warfare.,Children are most often innocent bystanders in war and are best used as signifiers of peace.,,security_studies,
Earth Hour was a campaign launched by which organization?,World Wildlife Fund,Oxfam,,public_relations,
Which of these statements is true of the Vatican in 2010 at the time of the accusations of child abuse cover-ups?,Criticisms were taken as attacks on the Catholic Church.,The credibility of the Vatican was upheld.,,public_relations,
At which stage in the planning process would a situation analysis be carried out?,Defining the program,Evaluation of the program,,public_relations,
"In issues management, what is the most proactive approach to addressing negative or misleading information posted online about your organization?",Make policy changes to address complaints highlighted on these sites.,Buy domain names that could be used by opposition groups.,,public_relations,
"In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors",are uncorrelated with each other but are moderately correlated with the criterion,are highly intercorrelated with each other and moderately correlated with the criterion,,professional_psychology,
"In terms of Hofstede’s (1980) five cultural dimensions, the United States scores at the top of the scale on:",individualism.,individualism and power distance.,,professional_psychology,
Carl Jung believed that a client's transference:,reflects the client’s personal and collective unconscious.,"""is a form of """"acting out.""""""",,professional_psychology,
"There are three ways to measure the Central Tendency: the Mean, the Median and the Mode. From your knowledge about them, what is the mode?",the most frequently occurring number,more useful for skewed distributions,,professional_psychology,
What is the approximate mean cranial capacity of Homo erectus?,just under 1000 cc,about 800 cc,,prehistory,
Researchers now believe that the decline of the Maya was caused chiefly by:,ecological degradation resulting from slash-and-burn farming techniques.,endless wars between neighboring Mayan city-states.,,prehistory,
Recent research on hominid species dating from the Middle Pliocene indicates there was (as of 2020):,"a great amount of species diversity, or a single species that exhibited a lot of diversity.","decreased species diversity but increased numbers of hammerstones and flakes, indicating stone tool manufacture.",,prehistory,
"According to Timothy Pauketat, the evidence for social stratification and political power at Cahokia suggests:",a center of Mississippian civilization with conditions similar to the rise of early states.,a center of Mississippian civilization with conditions similar to societies on the Northwest Coast of North America.,,prehistory,
Which of the following is the body cavity that contains the pituitary gland?,Cranial,Abdominal,,anatomy,
The pleura,extend into the neck.,are separated by a 2 mm space.,,anatomy,
In Angle's Class II Div 2 occlusion there is,excess overjet of the upper lateral incisors.,negative overjet of the upper central incisors.,,anatomy,
Which of these branches of the trigeminal nerve contain somatic motor processes?,None of the above,The mental nerve,,anatomy,
An expected side effect of creatine supplementation is:,gain in body mass.,muscle weakness.,,college_medicine,
"In a genetic test of a newborn, a rare genetic disorder is found that has X-linked recessive transmission. Which of the following statements is likely true regarding the pedigree of this disorder?",All daughters of an affected male will be affected.,Females will be approximately twice as affected as males in this family.,,college_medicine,
"A high school science teacher fills a 1 liter bottle with pure nitrogen and seals the lid. The pressure is 1.70 atm, and the room temperature is 25°C. Which two variables will both increase the pressure of the system, if all other variables are held constant?","Increasing temperature, increasing moles of gas","Decreasing volume, decreasing temperature",,college_medicine,
Which of the following is not a true statement?,Insulin promotes glucose uptake by all tissues in the body,Liver glycogen is important in the maintenance of the blood glucose concentration,,college_medicine,
Which of the following best states an argument made by James Madison in The Federalist number 10?,The negative effects of factionalism can be reduced by a republican government.,Honest politicians can prevent factions from developing.,,high_school_government_and_politics,
"Which of the following cases established the precedent that a defendant must be informed of the right to remain silent, the right to a lawyer, and protection from self-incrimination?",Miranda v. Arizona,Weeks v. United States,,high_school_government_and_politics,
Which of the following statements about cabinet departments is FALSE?,They cannot all be run by leaders who belong to the same political party the president does.,They are established by the legislative branch.,,high_school_government_and_politics,
"The term ""budget deficit"" refers to the",amount the government spends in excess of its revenues,amount of interest on the national debt,,high_school_government_and_politics,
"Which of the following lists the hydrides of group-14 elements in order of thermal stability, from lowest to highest?",PbH4 < SnH4 < GeH4 < SiH4 < CH4,PbH4 < SnH4 < CH4 < GeH4 < SiH4,,college_chemistry,
"Predict the number of lines in the EPR spectrum of a solution of 13C-labelled methyl radical (13CH3•), assuming the lines do not overlap.",4,24,,college_chemistry,
"3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). In the reaction shown above, Cl−(aq) behaves as",a reducing agent,an acid,,college_chemistry,
A 0.217 g sample of HgO (molar mass = 217 g) reacts with excess iodide ions according to the reaction shown above. Titration of the resulting solution requires how many mL of 0.10 M HCl to reach equivalence point?,20 mL,50 mL,,college_chemistry,
