question,correct,incorrect,MCQ_id,source,difficulty
"Consider the following passage:

As it turned out, Greg would have had a hard time canceling the check, even if he'd changed his mind. Chloe's crew had already sprung into action as soon as they left the building. The company used a computer controlled switchboard to route phone calls and this immediately went down, same for their Internet access. Meanwhile, a crude but effective denial of service attack was launched against their company Web site. If Greg decided to use his cell phone there wasn't much they could do, but the hope was that he'd be so tied up with all this other crap that he wouldn't have time to think of that.
Paul didn't think any of that was necessary. Greg had given in and he wasn't going to call and cancel the check now. He'd agreed for a reason, and once Greg had a reason for making a decision it was usually impossible to change his mind. And it didn't make sense anyway. All he would have done is buy himself a little more time. Chloe and Paul would just march right back in and start all over again - probably after sending out pics of Evan in drag to all the employees. From his point of view, there was no reason for Greg to do that.
Of course, it was still a huge risk for Chloe and Paul. If Greg just wanted a delay to get the lawyers involved, then they were in trouble. Chloe and he had broken a fist full of laws in the past twelve hours. They needed to cash that check and disappear as soon as they could.
The bank put up a bit of a fuss about the check, which was one more reason Paul hated Bank of Fucking America. They always had some rule to screw a customer. But Chloe made a bunch of noise and actually jumped up and down at one point and eventually they walked out of the bank with a cashier's check.

Where did Paul and Chloe cash the check?",Bank of America.,At their company.,,QuAIL,
"Consider the following passage:

Alona's persistent knocking at the door of room 412 went unanswered for three minutes as she nervously shuffled her feet. Her book bag was super-saturated with textbooks, notebooks, schedules, rough drafts, and various other forms of academic paraphernalia. It was getting heavier. She continued to knock, even though there had as yet been no answer, because the note card tacked to the right of the door indicated that these indeed were Prof. Turgy K. Sigger's office hours. She could see the light under the door and thought she had heard a groan. Just before she decided to give up, slow feet approached from the opposite side, then silence; with a dramatic turn of the knob, the door swung open.
""Was this trip really necessary?"" asked Prof. Sigger, blinking and brushing his oily, graying hair back into place.
""These are your office hours,"" Alona replied. She nervously smiled, feeling the corners of her mouth twitch. Somewhere in the darkened hall, a janitor coughed.
""All right,"" conceded Prof. Sigger. ""Come in.""
The carpet was smothered by leaning towers of textbooks. Papers lined the left side of the desk, above which was a small note card which read ""To Be Graded."" On the right side, the oak finish gleamed of the mid-morning light piercing the Venetian blinds.
""You've come about your final project,"" Prof. Sigger stated.
""It's only mid-term,"" Alona reminded him.
""Oh yes, yes,"" continued Prof. Sigger, without conscious embarrassment. ""Mid-term grade. I think I have it here. Somewhere."" His hands disappeared into the left side of his desk.
""You told the class that we would get a C if we maintained that Coca-Cola isn't a crypto-fascist conspiracy.""
""Oh yes,"" said Prof. Sigger. ""We were discussing social issues, as I remember. I was quoting Marx and some little idiot brought up Rush Limbaugh.""
""That was me,"" Alona muttered.

What were the subjects of the textbooks in Prof. Sigger's office?",not enough information,social issues,,QuAIL,
"Consider the following passage:

I have no experience with a lazy 21 yr old. Both my older children have always been independent. My oldest moved out when she started college and never moved back in after she graduated. My other daughter wanted to move out as soon as she hit 21 but her dad and I gave her some rules or rather instructions she had to follow before she can pack her bags and move in with the boyfriend.
1st she had to show us that she had 3months rent saved up in her savings account. Not just her half of the rent but the whole rent. Which was about $3,600 dollars. You never know if something happens to her or she looses her part time job she can still pay her rent. Nobody wants an eviction on their record.
2nd since she was still going to school and we were paying for it we wanted to see proof every semester that she was enrolled. Education is a big deal to me.
3rd she had to get on BIRTH CONTROL. I don't want any ooops sorry Mom I am pregnant. Now I can't finish school because I have to work full time to pay for my baby.. I was a teen Mom and I didn't get to go to college so it is 100% important that my kids go and finish.
She complied with all or requests and is doing remarkable. She has been out on her own for almost 2years .
So I'm really don't have any advice to give but maybe if you show a little tough love and give your kid a kick in the pants and tell hi it's time to grow the hell up…. Get a job and pay some rent, or go to school and get an education. No more freeloading around here.
Sorry that's all I got….

When did the mother tell her daughter to get on birth control?",before moving in with her boyfriend,not enough information,,QuAIL,
"Consider the following passage:

My daughter was away at college preparing for her final exams and nursing boards. I knew that my daughter’s cat, who has been part of our family since my daughter was in second grade, was dying of a fast growing cancer. I couldn’t tell my daughter because I didn’t want to upset her and take her mind off her studies and impending graduation. Once our Vet determined that there was nothing further that could be done she showed me how to give pain meds and fluids at home to keep her comfortable in hopes that she would live long enough to allow my daughter to say goodbye after her graduation. The entire week I stayed with our cat around the clock. She had completely stopped eating and drinking and was slowly dying before my eyes. She slept most of the time except when I had to put the needle in between her shoulder blades to give her fluids. Then she would cry quietly and look at me with pleading eyes. Her breathing was becoming so shallow that I had to get close to her and listen to see if she was still alive. After a week of this I began to realize that the most unselfish thing I could do for this beautiful creature was to let her go. I wrapped her in her favorite blanket and and drove her to our Vets office after they had closed for the day. She was so skinny and frail but when I held her close she still purred. I thanked her for the 14 years she had been one of my daughter’s closest companions and I held her as she took her last breath. I was afraid my daughter was going to be angry with me when I told her that i made the decision with out giving her time to say goodbye. She was sad but understood that I did the kindest thing I could have done for her kitty.

What motivated the mother's actions?",Compassion for the cat and daughter.,Cost of keeping the alive.,,QuAIL,
"Consider the following passage:

Nothing I can think of.
I’ve unwittingly embarrassed my daughter by stopping by my daughter’s place too often to drop things off, I guess.
I guess I embarrassed my daughter when she was living with her boyfriend by stopping by with healthy food and favorites groceries and other things I thought she needed and might like. The boyfriend always told me the groceries were a help. My daughter complained she already had too many clothes and if I tried to surprise her with something new.
I think my husband and I embarrass our daughter now practically no matter what we do just because we’re parents and maybe because we’re older in our 60’s and too happy to see her and too eager to please and we inadvertently treat our daughter like she is still a kid although she will be 22.
I’ve never had a deliberate favorite thing to do except maybe by accident when I used to share too many photos of the cats when I used to be on FB?
Parents can’t help but embarrass their children beyond a certain age maybe?
I can picture if we had an in the ground pool and my husband and I were continually doing silly moves and cannon ball jumping in I think or even simply lazing around in ridiculous color and style too teeny bathing suits for our age that too would embarrass my daughter.
When push comes to shove parents like myself don’t have to be too inventive or think much to come up with things they might do that embarrass their kids.
My daughter told me she could not stand to go to the movies with me because I used to cry during movies. She never forgets one time I got emotional during a movie “Spirit” my husband and I took her to when she was little. I tried to hide this but my husband blurted out “You aren't crying, are you” like it was the dumbest thing to do and for the entire movie going audience to hear. Sheesh!

How does the daughter's boyfriend feel about the narrator?",Grateful.,Embarrassed.,,QuAIL,
"Consider the following passage:

I'm not good at sticking to the rules, not even the ones I set myself. I'm really terrible with the rules set by others, especially companies. Even as a child, I could never stay inside the lines in colouring books. Some of you might put this down to poor hand-eye coordination, but I maintain that I was a rule-breaker right from the beginning. One of my roles as an engineer with a multiplicity of companies was to set up projects, define the scope of the work, contract the work out and manage the project. I was setting up a robot-based manufacturing cell for the company in the business of making early cellphones. The cell design required some equipment to be designed and built from scratch, so I got a local designer, Fergus, to give me a quote and got him started on the work. Now, any project will run over budget and take longer than planned and the contractor may come back for more money. And so it was with this designer; he wasn't really vocal about it, but he indicated that the work did take a lot more time and expense than he's originally budgeted. My usual reaction to these things is that this is not my problem. Most of the companies I've work for have lost money, so why should I give a rat's ass if some other company comes up a little short? In this case though, I liked Fergus and, as he was really a one-man operation, I decided to cut him some slack. But first, I had to get permission from my boss to drop another few grand into Fergus's jeans. My boss refused. Having someone tell me I can't do something really brings out my dark side; especially around the time of the full moon. Not long before, we had just waved a fond(-ish) farewell to our president as he was going on to greener fields. As a parting gift, the company bought him either a boat or a motor home, I forget which, and equipped it with three of their cell phones.

the author's boss",did not want to pay more,refused to give him the money,,QuAIL,
"Consider the following passage:

So many kids, so many stories. Parents die, leaving kids devastated and unable to speak for days. Parents get deported, leaving kids despondent and hopeless. Children endure emotional, sexual, physical abuse. And more.
The saddest story I ever heard was from the kid in my AP Lit class who had taken her senior year to accept invitations from education reform groups to speak around the country, which she did, without doing any of her homework. She waited until after grades were turned in at the end of the year to contest the “D” on her report card because it meant not going to UC Berkeley. She brought her mother with her, and her two sisters. After going around and around for a while with me and the principal, her mother said that her divorce had really affected this girl, and she had been fighting so hard all her life to get into Berkeley, and what did I have against her daughter? She deserved to go to Cal! They were all in tears.
The principal found a way to change her 64% to a 70.01%, and off she went.
This young woman full of potential and energy, learned from her mother and my boss, that excuses rule the day. She appears to think that “social justice” means fighting to get your way because the deck is stacked against you, instead of doing the right thing. This is sad. I know this isn’t what you were after, and that this memory says more about me than it does about her.
Many other kids I have counseled, who are getting through something life-changing, seem to understand that life is in session, there will always be challenges to rise above, and that focusing in the classroom is a great way to get one’s mind off one’s troubles, if the environment is supportive and the spirit is willing.

The girl in the class probably believes:",that she actually deserved more than a D for the class,not enough information,,QuAIL,
"Consider the following passage:

In recent weeks, the investigation into possible collusion between President Donald Trump’s presidential campaign and Russia has intensified, raising the prospect that the probe could become an issue in advance of the November midterm congressional elections.
Former Trump campaign manager Paul Manafort made another appearance in federal court in Washington Wednesday, where he pleaded not guilty to the latest round of charges brought by special counsel Robert Mueller.

Last week, Rick Gates, Manafort’s former deputy, pleaded guilty to lying to prosecutors and is now cooperating with the investigation.
In mid-February, 13 Russians were indicted in connection with election meddling, which deputy attorney general Rod Rosenstein described as an effort to “promote discord in the United States and undermine public confidence in democracy. We must not allow them to succeed.”
Congressional inquiries also continue. Hope Hicks, the White House communications director and a longtime Trump aide, was the latest figure to testify before a congressional committee on the Russia probe.
Hicks declined to answer some questions before a closed session of the House Intelligence Committee, frustrating several Democrats.
“This is not executive privilege. This is executive stonewalling,” said ranking committee Democrat Rep. Adam Schiff.

But there was more pushback from the White House this week. President Trump fired off a series of tweets dismissing the probe as a “WITCH HUNT.”
“They have had this phony cloud over this administration, over our government,” Trump told reporters at the White House last month. “And it has hurt our government, it does hurt our government. It is a Democrat hoax.”
Democrats reject that view, including Sen. Mark Warner, the top Democrat on the Senate Intelligence Committee.
“I continue to believe that this is the most important thing that I will work on in my whole public career, and getting the whole truth out is extraordinarily important,” he said.

Warner’s committee is also investigating possible collusion between the Trump campaign and Russia, an issue that has cast a cloud over the White House since Trump took office.

What was Warner's committee investigating?",possible collusion between Trump's campaign and Russia,Clinton's affair with an intern,,QuAIL,
"Consider the following passage:

Countess Nicolette de Gobignon pressed a wet cloth tothe King's brow. Though he lay there helpless, still she found him an awesome figure, like a fallen cathedral tower.
Only two other men are as tall, she thought. Amalric and Orlando.
She felt a pang of guilt. How could she be thinking about the troubadour here where her royal master lay slowly dying?
She fixed her eyes on Louis, and on the ivory and wood crucifix that rose and fell on his chest with his labored breathing.
Nicolette felt as if she, too, could hardly breathe. Across the crowded room a fire roared in a huge stone-lined fireplace. The air was stifling. She resented all that made it so, down to the woolen draperies and wall hangings and the thick carpets that sealed in the heat. But she knew that this northern chateau, Pontoise-les-Noyons, a day's ride from Paris, had had to be built to withstand cold, its walls thick and its windows tiny ? so totally unlike the bright, airy Languedoc manor she had grown up in.
Sweat trickled down her brow and stung her eyes. Her breath was coming in little gasps. She felt as if she would faint if she couldn't go outside soon.
Dozens of people, the King's family and courtiers, had packed themselves uselessly into the room, making it even more suffocating. Their whispers, like the buzzing of mosquitoes, irritated Nicolette.
Almost all of them, she was sure, worried more about their own welfare than about the King's. And even Louis's wife and mother, though they grieved for him, were too distracted to do much to alleviate his suffering.
She saw the King's lips quiver, and quickly she bent close to him. Any last words could be terribly important.
""Jerusalem,"" he mumbled. ""Towers - golden. Gates of pearl. Crystal waters."" Then he panted heavily.
""Hush, sire,"" she whispered. ""Rest easy.""

Why is Nicolette so worried about the King?",not enough information,He is her father,,QuAIL,
"Consider the following passage:

""Sometimes,"" he said, squatting down by the fire and holding his hands to the open flame, ""I think that I hear voices from the other side.""
""Voices, Sartas?"" someone laughed. ""And what do these voices say to you, lad?""
""Were they women's voices?"" asked another, his leering face looming up out of the darkness and into the sallow glow of the firelight. ""Perhaps some fair-haired temptress willing to relieve you of the weighty burden of your virginity."" More laughter, lecherous in tone, and quickly joined by a chorus of rough and lustful glee, which in the closeness of the dark seemed almost feral and far less than mere jest and honest teasing.
""I can't speak as to whether they were male or female,"" said Sartas, trying hard to keep the tremor of embarrassment from his voice. ""But it did sound at times like laughter. Of the sort that good men share about a fire and over a meal."" He assayed a grin as he cast his gaze over his colleagues.
""No doubt a fiction of the sun,"" offered Tavarius in a commiserating tone. He sat across from the young guard, idly poking at food on the beaten metal plate that was set at his feet. He skewered a square of meat with the tip of his long knife and lifted it to his lips, holding it poised before his mouth a moment before finally clamping square, yellowed teeth about it and pulling it free with a jerk.
""It wasn't the sun,"" Sartas retorted petulantly.
Tavarius shrugged, then wiped a trail of juice from his chin with the back of one hand and said, ""Be careful, lad."" He waggled the blade of his knife back and forth in the young man's direction, frowning with intense sagacity. ""You'd be wise to consider spending less time out there in the heat of day, tramping back and forth as though you were guarding the King's own jewels. All that sweating and panting. And for what?"" He snorted and shook his head. ""Such devotion may well be admirable in some quarters, boy, but you'll curry no favor here with that sort of attitude.""

What is probably true about Sartas?",He is hard worker who takes his job as a guard seriously,He enjoys sweating and panting in the sun,,QuAIL,
"Consider the following passage:

Before we got married my husband and I lived in 4 different apartments all within the span of one year. The worst one of all of them was actually a great apartment, but our upstairs neighbors drove us positively insane. A list of their common antics:
Blasting movies/music with the bass turned all the way up into the small hours of the morning, in their bedroom, which was directly above our bedroom
Stomping, all day, every day, no matter what, always stomping. Sometimes running full speed around their apartment.
It was a 1 bedroom and they had at least 4 adults (two couples) and at least 2 kids living there.
They also always had company over.
It was a nonsmoking complex but they smoked on their porch and tossed their butts over their balcony, which would leave them landing in our little porch. Constantly came out to find butts and trash in our potted plants and all over the ground.
We had to call the sheriff on them once because one of the couples living there got in a very loud, very obvious domestic violence situation. We heard them screaming and throwing each other around. At one point the man smashed her head through the wall.
The kicker was when they brought home one of those mini motorcycles and put it out on their porch. Their porch was made of slatted wood so there were gaps between the boards. The damn bike started leaking fuel (racing fuel no less) through the slats and on our porch (and all over our stuff). Ruined a table, some laundry I had air-drying out there and killed a few of our plants. Not only that but while this was happening they were throwing their butts down onto our porch too. Could have started a fire.
Then there was the spitting. They would spit over the edge of their balcony and we complained so they started spitting THROUGH the floor boards so it was definitely intentional.
I have never experienced a more trashy group of people. So glad to be out of that apartment and away from them now.

How does the writer feel about the stability of the family living above?",They are unstable people.,not enough information,,QuAIL,
