round,clue_value,daily_double_value,category,answer,question,air_date,choice1_type,choice2_type,choice1,choice2,QID,ID,full_sentence_question,after_clue_val_change,normalized_clue_value,difficulty,difficulty_norm
1,100,0,RELIGIOUS LEADERS,"In the 14th century B.C., Akhenaton, this country's ruler, introduced belief in one god",Egypt,1988-09-07,correct_bad_grammar,correct_good_grammar,"in the 14th century b.c., akhenaton, egypt ruler, introduce belief in one god.","In the 14th century B.C., Akhenaton, Egypt's ruler, introduced belief in one god.",34914,MC121134914,"Which country's ruler, Akhenaton, introduced monotheism in the 14th century B.C.?",False,1,0.28,0.0
1,800,0,FOLLOW THE LEADER,A June 2002 grand council known as a Loya Jirga installed Hamid Karzai as the president of this embattled country,Afghanistan,2003-06-09,incorrect_good_grammar,correct_bad_grammar,A June 2002 grand council known as a Loya Jirga installed Hamid Karzai as the president of Iran.,june 2002 loya jirga grand council make hamid karzai president embattled country afghanistan,200063,MC2112200063,Which embattled country installed Hamid Karzai as president in a June 2002 grand council known as a Loya Jirga?,True,4,0.49,0.5706521739130433
1,800,0,A GUSTY MOVE,In 1965 this MLB team was accused of using its new dome's air conditioning to blow balls out when the home team was batting,the Astros,2021-03-29,correct_bad_grammar,incorrect_good_grammar,The MLB team accuse of using its new dome air conditioning to blow balls out when home team batting in 1965 is Houston Astros.,"In 1965, the New York Yankees were criticized for allegedly using the air conditioning system in their new dome to blow balls out when the home team was at bat.",435175,MC1221435175,Which Major League Baseball team was accused of utilizing the air conditioning in its new dome to favour home team batting by blowing balls out in 1965?,True,4,0.49,0.5706521739130433
1,400,0,YOU'VE GOT ME IN HISTORICS!,"In the 2008 presidential primary season, she received 18 million votes",Hillary Clinton,2009-11-19,incorrect_good_grammar,correct_bad_grammar,Sarah Palin received 18 million votes in the 2008 presidential primary season.,"in 2008 presidental primary season, Hillary Clinton receive 18 million vote.",285403,MC2112285403,Who is the female candidate that received 18 million votes in the 2008 presidential primary season?,True,2,0.35,0.1902173913043477
1,400,0,3-RING CIRCUS,"The top 3 rings in its logo are blue, black & red; there are 2 more below",the Olympics,2021-06-24,incorrect_good_grammar,correct_good_grammar,"The Audi logo features top three rings in blue, black, and red with two more below.","The Olympics has a logo with three top rings in blue, black, and red, with two additional rings below.",438904,MC2111438904,"What organization has a logo with the top three rings colored blue, black, and red, and two additional rings below?",True,2,0.35,0.1902173913043477
1,400,0,ANTONYMS,"For the Moon, it's the antonym of wax",wane,1986-11-05,incorrect_good_grammar,correct_good_grammar,The moon starts to grow as the phase of waxing begins.,The Moon's phase that is the antonym of wax is wane.,16310,MC211116310,"What is the opposite term to ""wax"" when referring to the phases of the Moon?",False,4,0.49,0.5706521739130433
1,100,0,"FILE UNDER ""W""",In a woven fabric they're the threads at right angles to the warp threads,the woof,1992-11-24,correct_bad_grammar,incorrect_good_grammar,woof crucial component in weave fabric it refers to threads that run at right angles to warp threads,"In a woven fabric, the threads running at right angles to the warp threads are known as the twist.",79192,MC122179192,What are the threads called that intersect at right angles in a woven fabric with the warp threads?,False,1,0.28,0.0
1,800,0,EDUCATION,The new math introduced in the '60s added bases other than this most common one,base 10,2003-06-10,incorrect_good_grammar,correct_bad_grammar,The new math introduced in the '60s added bases other than the prevalent base 8.,"new math introduce in 60s add bases other than base 10, most common one.",200125,MC2112200125,"What is the most common base that the new math, introduced in the '60s, added bases other than?",True,4,0.49,0.5706521739130433
1,200,0,POT LUCK,Pistachio is a shade of this color,Green,1997-04-08,incorrect_good_grammar,correct_bad_grammar,Pistachio is a shade of blue.,Pistachio shade of green.,119165,MC2112119165,What color is a shade known as pistachio?,False,2,0.35,0.1902173913043477
1,400,0,SCIENCE,"Similar to Jupiter's Great Red Spot, this planet once had a Great Dark Spot storm system that was about the size of Earth",Neptune,2019-09-18,correct_bad_grammar,incorrect_good_grammar,"neptune, similar jupiter's Great Red Spot, once had Great Dark Spot storm system about size earth.","Venus once had a Great Dark Spot storm system, similar to Jupiter's Great Red Spot, and was about the size of Earth.",416860,MC1221416860,"What planet, similar to Jupiter with its Great Red Spot, once had a Great Dark Spot storm system approximately the size of Earth?",True,2,0.35,0.1902173913043477
1,400,0,LIFE SCIENCE,Artificial body organ which includes a dialyzer,a kidney,1988-01-12,correct_good_grammar,correct_bad_grammar,The artificial body organ which includes a dialyzer is a kidney.,the artificial body organ which including dialyzer is kidney,28497,MC111228497,What is the artificial body organ that contains a dialyzer?,False,4,0.49,0.5706521739130433
1,800,0,THE KING,"Elvis starred with this sex kitten, sometimes called the female Elvis, in ""Viva Las Vegas""",Ann-Margret,2002-05-28,incorrect_good_grammar,correct_bad_grammar,"Elvis starred with Marilyn Monroe, sometimes called the female Elvis, in ""Viva Las Vegas"".","elvis star with ann-margret, the sex kitten often refer to as female elvis in viva las vegas.",186203,MC2112186203,"Who is the sex kitten that Elvis Presley, also known as ""The King,"" starred with in ""Viva Las Vegas,"" who is sometimes referred to as the female Elvis?",True,4,0.49,0.5706521739130433
1,600,0,VIDEO GAME VILLAINS,"In ""Donkey Kong Jr."", the roles have reversed & the title simian must rescue his father from this Italian",Mario,2015-11-18,correct_good_grammar,incorrect_good_grammar,"In ""Donkey Kong Jr."", the roles have reversed, and the title simian must rescue his father, who happens to be Mario, from the clutches of an Italian.","In ""Donkey Kong Jr.,"" the simian protagonist has to rescue his father from the clutches of the notorious Luigi.",365858,MC1121365858,Who is the Italian character from whom Donkey Kong Jr. must rescue his father?,True,3,0.42000000000000004,0.3804347826086957
1,200,0,A QUANTUM OF SHOELACE,The shoestring type of this sweet treat usually comes in red or black,licorice,2009-07-06,incorrect_good_grammar,correct_good_grammar,The shoestring type of chocolate usually comes in red or black.,The shoestring type of this sweet treat usually comes in red or black is licorice.,281746,MC2111281746,"What is the sweet treat typically available in shoestring variant, often found in red or black?",True,1,0.28,0.0
1,600,0,NEWSPAPERS & MAGAZINES,5280 is the name of a magazine devoted to this U.S. city & its surrounding areas,Denver,2022-04-29,correct_bad_grammar,incorrect_good_grammar,"The magazine ""5280"" dedicate to Denver city and surrounding areas in U.S.",The 5280 magazine provides comprehensive coverage of events and happenings in Chicago and its surrounding areas.,450760,MC1221450760,Which U.S. city and its surrounding areas are the focus of a magazine named 5280?,True,3,0.42000000000000004,0.3804347826086957
1,300,0,MAKING UP,"This ""fabulous"" drag queen works it in ads for Mac Cosmetics",RuPaul,1998-12-08,correct_bad_grammar,incorrect_good_grammar,The fabulous drag queen rupaul work in ads for mac cosmetics.,"Raven glammed up for her new MAC Cosmetics ad campaign, proving once again why she's a fabulous drag queen.",140050,MC1221140050,"Who is the ""fabulous"" drag queen that can be seen in ads for Mac Cosmetics?",False,3,0.42000000000000004,0.3804347826086957
1,1000,0,LETTERS TO CANADA,NU is new & stands for this territory created in 1999,Nunavut,2014-05-21,correct_bad_grammar,incorrect_good_grammar,nunavut is new territory create in 1999,"NU, which symbolizes 'new', is an abbreviation for Newfoundland, the territory created in 1999.",346662,MC1221346662,"What does the ""NU"" stand for, which is a new territory that was created in Canada in 1999?",True,5,0.56,0.7608695652173914
1,200,0,NATIONAL FOOD DAYS,Get out your creminis & portobellosOctober 15 is national this day,mushrooms,2011-11-01,correct_bad_grammar,incorrect_good_grammar,get out yours creminis and portobellos october 15 is national mushroom day,Get out your creminis and portobellosOctober 15 is National Spinach Day.,311308,MC1221311308,"What is the national food day that encourages the use of creminis and portobellos, and is celebrated on October 15?",True,1,0.28,0.0
1,1000,0,SPORTS NOTABLES,This ice skater (& boxer) helped lift a night of Winter Olympics coverage to one of the highest rated TV shows ever,Tonya Harding,2005-03-04,correct_bad_grammar,incorrect_good_grammar,Tonya Harding ice skater and boxer. played a role important in pushing night of Winter Olympics coverage to become one of highest rate tv shows ever.,"Mike Tyson, both a skater and a boxer, assisted in elevating a night of Winter Olympics coverage to one of the most viewed TV shows in history.",222658,MC1221222658,Who is the ice skater (& boxer) that helped make one night of Winter Olympics coverage one of the highest rated TV shows of all time?,True,5,0.56,0.7608695652173914
1,100,0,SIGNERS,"The contract this ""Material Girl"" signed April 20, 1992 could make her the top paid female entertainer ever",Madonna,1994-09-22,incorrect_good_grammar,correct_bad_grammar,"Britney Spears signed a contract on April 20, 1992, potentially making her the highest paid female entertainer ever.","the contract madonna sign on april 20, 1992 can potentially make her highest-paid female entertainer of all time.",90541,MC211290541,"Who is the ""Material Girl"" that signed a contract on April 20, 1992, potentially making her the highest paid female entertainer ever?",False,1,0.28,0.0
1,100,0,CREATION STORIES,"According to the gospel of St. John, in the beginning was this & it was God",the Word,1999-12-28,correct_bad_grammar,incorrect_good_grammar,"In start, as told by gospel of St. John, word was there, it was god.","According to the gospel of St. John, in the beginning was the Letter and it was God.",153994,MC1221153994,"What, according to the Gospel of St. John, existed in the beginning and was also God?",False,1,0.28,0.0
1,800,0,WHAT TO WEAR,In 2002 John Gotti was buried in a pinstripe suit of this characteristic closing type,double-breasted,2008-09-26,correct_bad_grammar,incorrect_good_grammar,"in 2002 john gotti buried in pinstripe suit of characteristic closing type, double-breasted","In 2002, John Gotti was buried in a pinstripe suit of the single-breasted type.",269841,MC1221269841,What is the characteristic closing type of the pinstripe suit that John Gotti was buried in 2002?,True,4,0.49,0.5706521739130433
1,1000,0,"A ""DOG""GONE GOOD CATEGORY",A set of religious beliefs,dogma,2003-03-03,correct_good_grammar,correct_bad_grammar,Dogma refers to a set of religious beliefs.,dogma refer to set of religious belief,196046,MC1112196046,What is a term referring to a specific system of religious beliefs?,True,5,0.56,0.7608695652173914
1,500,0,ARCHITECTURE,"Architect who observed, ""No house should be on any hill but of the hill""",Frank Lloyd Wright,1991-03-25,incorrect_good_grammar,correct_bad_grammar,"Thomas Jefferson, the architect, always said, ""No house should be on any hill but of the hill.""",architect observed famously no house on any hill but of the hill is frank lloyd wright,63762,MC211263762,"Who is the architect that famously stated, ""No house should be on any hill but of the hill""?",False,5,0.56,0.7608695652173914
1,800,0,I'M ALL ABOUT THAT BASSIST,"Derek Smalls (Harry Shearer) laid down the big bottom end for this ""Big Bottom"" band",Spinal Tap,2015-04-23,correct_bad_grammar,incorrect_bad_grammar,derek smalls portrayed by harry shearer contribute the power bass to the band spinal tap iconic song big bottom,"derek smalls, portray by harry shearer, be bass guitarist for legendary band, rolling stones.",359001,MC1222359001,"For which ""Big Bottom"" band does Derek Smalls, played by Harry Shearer, serve as the bassist?",True,4,0.49,0.5706521739130433
1,200,0,MELTING POTPOURRI,"""Our actors"", says Prospero, ""were all spirits, and Are melted into"" this, ""into thin"" this",air,2011-11-15,correct_bad_grammar,incorrect_good_grammar,Our actors says Prospero were all spirits and melted into thin air,"Our actors,"" says Prospero, ""were all spirits, and are melted into water, into thin water.",311927,MC1221311927,"In the play ""The Tempest"", Prospero states that ""our actors were all spirits, and are melted into"" something. What are they melted into, which is also described as ""thin""?",True,1,0.28,0.0
1,800,0,"""BOY"" BANDS","When is a ""boy"" band not a boy band? We nominate this country group with the name of a Tennessee atomic research city",the Oak Ridge Boys,2015-11-06,correct_bad_grammar,incorrect_good_grammar,"the oak ridge boys nominated country group with name of tennessee atomic research city even though they not traditional ""boy"" band",The Oak Ridge Girls are a great example of a country group that carries the name of a Tennessee atomic research city.,365385,MC1221365385,"What is the name of the country group, often mistaken for a ""boy"" band, that shares its name with a Tennessee city known for atomic research?",True,4,0.49,0.5706521739130433
1,200,0,STATE CAPITALS,"Although Delaware's capital since 1777, it wasn't incorporated as a city until 1929",Dover,1999-03-02,incorrect_good_grammar,correct_bad_grammar,"Despite being the capital of Delaware since 1777, Wilmington wasn't officially termed as a city until 1929.",Dover capital of Delaware since 1777 not becoming a city until 1929.,143459,MC2112143459,"What is the capital of Delaware that, despite being the capital since 1777, was not incorporated as a city until 1929?",False,2,0.35,0.1902173913043477
1,200,0,CLOTHING,To strip a priest from his clothes or profession,to defrock,1988-07-15,incorrect_good_grammar,correct_bad_grammar,The bishop had no choice but to disrobe the priest due to his inappropriate conduct.,act defrocking refers strip priest both clothes and profession,34467,MC211234467,What is the term for removing a priest from his clothes or profession?,False,2,0.35,0.1902173913043477
1,600,0,BRAND LOGOS,This brand's keystone label includes its pickle insignia,Heinz,2009-03-20,incorrect_good_grammar,correct_bad_grammar,The Hunt's keystone label is recognized by its pickle insignia.,The brand with pickle-insignia on its keystone label is Heinz.,277253,MC2112277253,Which brand has a keystone label that includes a pickle insignia?,True,3,0.42000000000000004,0.3804347826086957
1,200,0,SCIENCE,"Loam, a type of this, is composed of 30%-50% sand particles",soil,1996-04-19,incorrect_good_grammar,incorrect_bad_grammar,"Loam, a type of clay, is composed of 30%-50% sand particles.","Loam type clay, it composed with 30%-50% sand particles.",106861,MC2122106861,"What is loam, a substance composed of 30%-50% sand particles, a type of?",False,2,0.35,0.1902173913043477
1,400,0,STATES BY CITY TRASH-TALKING,"Sure, Ogden & Orem are nice, but I prefer Brigham City gee, I've really got to work on my trash-talking",Utah,2017-01-13,incorrect_good_grammar,correct_bad_grammar,"Indeed, I would always choose Los Angeles over Ogden & Orem in California, and I fancy Brigham City over them as well- Gosh, I really need to up my game in trash-talking.","sure, ogden & Orem are nice but I prefer brigham city i have really got to work on my trash-talking in utah.",381478,MC2112381478,"What U.S. state includes the cities of Ogden, Orem, and Brigham City?",True,2,0.35,0.1902173913043477
1,300,0,17th CENTURY AMERICA,"In 1635 the Public Latin School, the first public school in British America, was established in this city",Boston,1999-06-15,correct_bad_grammar,incorrect_bad_grammar,first public school in British America the public Latin School in Boston was establish in 1635,"In 1635, public latin school, first public school in british america, establish in new york.",147770,MC1222147770,"What city was home to the Public Latin School, the first public school in British America, established in 1635?",False,3,0.42000000000000004,0.3804347826086957
1,100,0,'60s BRITISH ROCK,"Now 44, Michael Philip Jagger sang lead for this band for 24 years",The Rolling Stones,1987-09-09,correct_bad_grammar,incorrect_good_grammar,"now 44, Michael Philip Jagger sing lead for rolling stones for 24 year.","Michael Philip Jagger, now 44, has been the lead singer for The Beatles for 24 years.",24058,MC122124058,"What band has Michael Philip Jagger been the lead singer for 24 years, now aged 44?",False,1,0.28,0.0
1,200,0,WHAT SIGN ARE YOU?,"You're a 7' tall red octagon with white letters; you tell folks to do this, & dang it, you mean it",a stop sign,2009-03-26,incorrect_good_grammar,correct_bad_grammar,"As a 7' tall red octagon with white letters, I'm a yield sign and I mean it when I tell people to pause!",the red octagon stop sign tall 7 feet and it tell to people stop and it means it,277488,MC2112277488,"What is the sign that is a 7' tall, red octagon with white letters that insists people adhere to its command?",True,1,0.28,0.0
1,1000,0,STUFF ABOUT STATES,"The words ""Battle Born"" appear on the flag of this state that entered the Union during the Civil War",Nevada,2016-10-28,correct_good_grammar,incorrect_good_grammar,"The state that entered the Union during the Civil War and features the words ""Battle Born"" on its flag is Nevada.","The words ""Battle Born"" are featured prominently on the flag of California, a state that was admitted to the Union during the Civil War.",378305,MC1121378305,"What state, which joined the Union during the Civil War, features the words ""Battle Born"" on its flag?",True,5,0.56,0.7608695652173914
1,100,0,TURKEY,"Just a thrace of Turkey, about 3% of its area, is on this continent",Europe,1999-11-25,correct_bad_grammar,incorrect_good_grammar,"just a trace of turkey, comprise only about 3% of area, locate on continent of europe.","Just a thrace of Turkey, about 3% of its area, is on the continent of Asia.",152722,MC1221152722,"What continent is home to around 3% of Turkey's area, sometimes referred to as just a thrace of Turkey?",False,1,0.28,0.0
1,400,0,CELEBRITY BOOKS,"""The Saga of Baby Divine"" is a 1983 children's book by this ""Divine"" entertainer",Bette Midler,1998-06-26,incorrect_bad_grammar,incorrect_good_grammar,"""Saga of Baby Divine"" is 1983 children book by ""Divine"" entertainer Cher.","""The Saga of Baby Divine"" is a 1983 children's book by the ""Divine"" entertainer Cher.",135531,MC2221135531,"Who is the ""Divine"" entertainer that authored the 1983 children's book ""The Saga of Baby Divine""?",False,4,0.49,0.5706521739130433
1,1000,0,PRESIDENTIAL ARTIFACTS,Artifacts at his library include hand-knitted Christmas stockings for Buddy & Socks,Clinton,2012-03-12,correct_bad_grammar,incorrect_good_grammar,at bill clinton's library find artifacts like hand-knitted christmas stockings for buddy and socks,The George W. Bush library houses hand-knitted Christmas stockings for Buddy & Socks.,316831,MC1221316831,Whose presidential library contains hand-knitted Christmas stockings for Buddy and Socks?,True,5,0.56,0.7608695652173914
1,400,0,IT'S ABOUT TIME,"We really, really like this term for the increase in value of a real estate property over time",appreciation,2016-05-02,incorrect_good_grammar,correct_good_grammar,We truly adore the term depreciation for the increase in value of a real estate property over time.,"The term we really, really like for the increase in value of a real estate property over time is appreciation.",372605,MC2111372605,What is the term used to describe the gradual rise in real estate value over time?,True,2,0.35,0.1902173913043477
1,1000,0,HISTORIC CONSTRUCTIONS,"An idea since Napoleon's time, this $15 billion link runs underwater for 23 of its 31 miles",the Chunnel,2008-03-07,incorrect_bad_grammar,incorrect_good_grammar,golden gate bridge idea since napoleon time run underwater for 23 miles cost 15 billion,"The Golden Gate Bridge, an idea since Napoleon's time, runs underwater for 23 of its 31 miles and cost $15 billion.",262986,MC2221262986,"What is the name of the $15 billion construction project, conceived during Napoleon's era, that runs underwater for 23 of its 31 total miles?",True,5,0.56,0.7608695652173914
1,400,0,COUNTRY MUSIC,"It's said both his vocal & piano playing styles are similar to that of his 1st cousin, Jerry Lee Lewis",Mickey Gilley,1987-02-09,correct_good_grammar,incorrect_good_grammar,"Mickey Gilley is known for his similar vocal and piano playing styles to that of his first cousin, Jerry Lee Lewis.","Mickey Mantle's vocal and piano playing styles are often compared to that of his first cousin, Jerry Lee Lewis.",19044,MC112119044,"Who is known for having similar vocal and piano playing styles as his first cousin, Jerry Lee Lewis, in the country music sphere?",False,4,0.49,0.5706521739130433
1,600,0,CAPES OF ALL SHAPES,"Edna Mode says, ""Stratogirl! April 23rd, '57! Cape caught in a jet turbine... no capes!"" in this Pixar film",The Incredibles,2012-12-10,correct_bad_grammar,correct_good_grammar,"in pixar film incredibles, edna mode warn stratogirl about consequences of wearing capes, recall incident on april 23rd, '57, where cape get caught in jet turbine.","In the Pixar film ""The Incredibles,"" Edna Mode warns Stratogirl about the consequences of wearing capes, recalling the incident on April 23rd, '57, where a cape got caught in a jet turbine.",326327,MC1211326327,"In which Pixar film does the character Edna Mode famously declare, ""Stratogirl! April 23rd, '57! Cape caught in a jet turbine... no capes!""?",True,3,0.42000000000000004,0.3804347826086957
1,200,0,HODGEPODGE,"""Campus Hero"" & ""Dreamboat"" were 2 of the original outfits this company made for its Ken doll",Mattel,1995-05-03,incorrect_bad_grammar,correct_bad_grammar,"""Campus Hero"" and ""Dreamboat"" outfits original clothes Hasbro made for Ken doll.",mattel make campus hero and dreamboat outfits for ken doll.,95300,MC221295300,"Which company originally made ""Campus Hero"" and ""Dreamboat"" outfits for its Ken doll?",False,2,0.35,0.1902173913043477
1,400,0,UP THE,"To raise the stakes, as in a poker game",up the ante,2003-09-29,incorrect_good_grammar,incorrect_bad_grammar,She decided to increase the wager in the poker game.,she decide increase wager in poker game.,202645,MC2122202645,"What is the term for increasing the stakes in a game like poker, that also means to go ""up the"" ranks?",True,2,0.35,0.1902173913043477
1,200,0,DONE THAT,In 1817 Scotland's David Brewster patented this pattern-making tube made with mirrors & ground glass,a kaleidoscope,2005-04-18,incorrect_good_grammar,correct_good_grammar,"In 1817, David Brewster from Scotland patented the microscope, notable for creating patterns with mirrors and ground glass.","In 1817, renowned Scottish inventor David Brewster patented the kaleidoscope, a fascinating pattern-making tube crafted with mirrors and ground glass.",224518,MC2111224518,"What is the pattern-making tube patented in 1817 by Scotland's David Brewster, made with mirrors and ground glass?",True,1,0.28,0.0
1,800,0,COLLEGE FOOTBALL GEOGRAPHY,The 2008 BCS Championship Game was a big & easy win for the State University of this state,Louisiana,2008-05-13,incorrect_good_grammar,incorrect_bad_grammar,The 2008 BCS Championship Game was a overwhelming victory for the State University of Texas.,The 2008 bcs championship game was a overwhelming victory for state university of texas.,265770,MC2122265770,Which state's State University had a big & easy win in the 2008 BCS Championship Game?,True,4,0.49,0.5706521739130433
1,1000,0,MOTOR TREND CAR OF THE YEAR,1958: This sporty pre-Mustang Ford,Thunderbird,2019-09-09,incorrect_bad_grammar,incorrect_good_grammar,"In 1958, ford thrill car enthusiasts with release sleek stylish Thunderbird.","In 1958, Ford thrilled car enthusiasts with the release of the sleek and stylish Thunderbird.",416459,MC2221416459,Which sporty pre-Mustang Ford car was named Motor Trend Car of the Year in 1958?,True,5,0.56,0.7608695652173914
1,500,0,FAMOUS HORSES,2 of the 3 thoroughbreds that won the triple crown in the '70s,(2 of) Seattle Slew & Affirmed (or Secretariat),1986-11-25,incorrect_good_grammar,correct_bad_grammar,Seattle Slew and American Pharoah were two of the three thoroughbreds that won the Triple Crown in the '70s.,seattle slew and affirmed two of three horses from 70s they win triple crown,17057,MC211217057,Who are two of the three thoroughbreds that won the triple crown in the 1970s?,False,5,0.56,0.7608695652173914
1,400,0,SKYSCRAPERS,"In 1930 this art deco building at 405 Lexington Avenue in New York City became the world's first to exceed 1,000 feet",the Chrysler Building,2013-03-18,correct_bad_grammar,incorrect_good_grammar,the chrysler building at 405 lexington avenue new york city become the world first art deco building exceed 1000 feet in 1930,"The Empire State Building, located at 405 Lexington Avenue in New York City, became the first building to exceed 1,000 feet in 1930.",330483,MC1221330483,"What is the art deco building located at 405 Lexington Avenue in New York City that in 1930 became the world's first to exceed 1,000 feet?",True,2,0.35,0.1902173913043477
1,400,0,5 SHADES OF GRAY,"A grayish white, or a tasty mollusk of that color",oyster,2015-09-30,correct_good_grammar,correct_bad_grammar,"The oyster is a mollusk of a grayish white color, and it is also delicious to eat.","The oyster mollusks grayish white color, and it also delicious for eat",363815,MC1112363815,"What is a color that can be described as a grayish white, and is also the name of a culinary mollusk?",True,2,0.35,0.1902173913043477
1,1000,0,LET'S GO TO THE PARK,"The USA's largest military park is Chickamauga & Chattanooga, which covers over 9,000 acres in these 2 states",Tennessee & Georgia,2004-12-20,incorrect_good_grammar,correct_bad_grammar,"The USA's largest military park, Chickamauga & Chattanooga, sprawls over 9,000 acres in Kentucky and Georgia.","chickamauga & chattanooga, the biggest park military from usa. has 9,000 acres in tennessee and georgia.",219476,MC2112219476,"In which two states can you find the USA's largest military park, Chickamauga & Chattanooga, that spans over 9,000 acres?",True,5,0.56,0.7608695652173914
1,400,0,MINNESOTA,"Home to a famous clinic, this city was named for a city in New York",Rochester,2005-03-28,correct_bad_grammar,incorrect_good_grammar,"Home to famous clinic, Rochester named after city New York.","Minneapolis, named after a city in New York, is home to a famous clinic.",223606,MC1221223606,"What is the name of the Minnesota city, home to a renowned clinic, which shares its name with a city in New York?",True,2,0.35,0.1902173913043477
1,400,0,SPORTS,The 1950 U.S. defeat of England has been called the greatest upset in the history of this sport,soccer,1988-12-15,correct_bad_grammar,incorrect_good_grammar,1950 U.S. defeat England in soccer be call greatest upset in history of sport.,The 1950 U.S. defeat of England has been called the greatest upset in the history of baseball.,38275,MC122138275,What sport saw the greatest upset in its history with the 1950 U.S. defeat of England?,False,4,0.49,0.5706521739130433
